"","Type","Subpopulation","Indicator","Statistic","NResp","Estimate","StdError","LCB95Pct","UCB95Pct"
"170","Basin","ZONE 2","Escherichia_Coli_Quanti_Tray","Std. Deviation",5,844.744377903754,"221.461496988456",410.687819844055,1278.80093596345
"171","Basin","ZONE 3","Escherichia_Coli_Quanti_Tray","5Pct",0,2.47,"",2.47,2.47
"172","Basin","ZONE 3","Escherichia_Coli_Quanti_Tray","10Pct",0,3.94,"",3.94,3.94
"173","Basin","ZONE 3","Escherichia_Coli_Quanti_Tray","25Pct",1,13.975,"",1,128.447201698878
"174","Basin","ZONE 3","Escherichia_Coli_Quanti_Tray","50Pct",3,127.55,"",10.7443442766933,163.935846988136
"175","Basin","ZONE 3","Escherichia_Coli_Quanti_Tray","75Pct",5,162.5,"",69.5290637069728,2419.6
"176","Basin","ZONE 3","Escherichia_Coli_Quanti_Tray","90Pct",6,1938.91,"",158.689526567581,2419.6
"177","Basin","ZONE 3","Escherichia_Coli_Quanti_Tray","95Pct",6,2179.255,"",160.614526567581,2419.6
"178","Basin","ZONE 3","Escherichia_Coli_Quanti_Tray","Mean",7,426.142857142857,"280.178283902823",-122.996488556915,975.282202842629
"179","Basin","ZONE 3","Escherichia_Coli_Quanti_Tray","Variance",7,666107.916734694,"471001.876200531",0,1589254.63073853
"180","Basin","ZONE 3","Escherichia_Coli_Quanti_Tray","Std. Deviation",7,816.154346147035,"288.549511758452",250.607695343852,1381.70099695022
"181","Basin","ZONE 4","Escherichia_Coli_Quanti_Tray","5Pct",1,1,"",1,161.146366311824
"182","Basin","ZONE 4","Escherichia_Coli_Quanti_Tray","10Pct",1,1,"",1,224.099912836554
"183","Basin","ZONE 4","Escherichia_Coli_Quanti_Tray","25Pct",1,160.825,"",1,224.624912836554
"184","Basin","ZONE 4","Escherichia_Coli_Quanti_Tray","50Pct",2,224.35,"",1,760.610784481811
"185","Basin","ZONE 4","Escherichia_Coli_Quanti_Tray","75Pct",3,262.8,"",161.096097832913,780
"186","Basin","ZONE 4","Escherichia_Coli_Quanti_Tray","90Pct",4,753.5,"",224.580945926786,780
"187","Basin","ZONE 4","Escherichia_Coli_Quanti_Tray","95Pct",4,766.75,"",228.76007582959,780
"188","Basin","ZONE 4","Escherichia_Coli_Quanti_Tray","Mean",5,288.48,"112.243835098543",68.4861257202028,508.473874279797
"189","Basin","ZONE 4","Escherichia_Coli_Quanti_Tray","Variance",5,68934.6456,"38552.1364941114",0,144495.444655531
"190","Basin","ZONE 4","Escherichia_Coli_Quanti_Tray","Std. Deviation",5,262.554081286123,"73.4175151748995",118.658395708897,406.449766863349
"191","Basin","ZONE 5","Escherichia_Coli_Quanti_Tray","5Pct",0,18.9,"",18.9,18.9
"192","Basin","ZONE 5","Escherichia_Coli_Quanti_Tray","10Pct",0,19.1,"",19.1,19.1
"193","Basin","ZONE 5","Escherichia_Coli_Quanti_Tray","25Pct",1,25.05,"",1,144.987886330012
"194","Basin","ZONE 5","Escherichia_Coli_Quanti_Tray","50Pct",2,144.45,"",19.0400761381488,2127.68714491655
"195","Basin","ZONE 5","Escherichia_Coli_Quanti_Tray","75Pct",3,173,"",33.10606043865,2419.6
"196","Basin","ZONE 5","Escherichia_Coli_Quanti_Tray","90Pct",4,2076.25,"",144.889325731532,2419.6
"197","Basin","ZONE 5","Escherichia_Coli_Quanti_Tray","95Pct",4,2247.925,"",167.714605852252,2419.6
"198","Basin","ZONE 5","Escherichia_Coli_Quanti_Tray","Mean",5,560.2,"380.673736710792",-185.906813813436,1306.30681381344
"199","Basin","ZONE 5","Escherichia_Coli_Quanti_Tray","Variance",5,867836.628,"531814.324511332",0,1910173.55050471
"200","Basin","ZONE 5","Escherichia_Coli_Quanti_Tray","Std. Deviation",5,931.577494361043,"285.437512032263",372.13025094109,1491.024737781
"201","Basin","ZONE 6","Escherichia_Coli_Quanti_Tray","5Pct",0,145.475,"",145.475,145.475
"202","Basin","ZONE 6","Escherichia_Coli_Quanti_Tray","10Pct",0,145.95,"",145.95,145.95
"203","Basin","ZONE 6","Escherichia_Coli_Quanti_Tray","25Pct",1,187.4,"",1,610.018503795366
"204","Basin","ZONE 6","Escherichia_Coli_Quanti_Tray","50Pct",2,596.25,"",145.935369669886,2081.53770931015
